id,title,isPartOf,publicationYear,doi,docType,provider,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/4608988,The Negro Cult of the Primitive,The Antioch Review,1944,,article,jstor,1944-04-01,1,4,http://www.jstor.org/stable/4608988,Charles I. Glicksberg,"Antioch Review, Inc.",eng,47,55,,3676,9,unigram; bigram; trigram
ark://27927/phx21rtpgc6,THE SOCIAL STRUCTURE OF THE HOSPITAL AS A FACTOR IN TOTAL THERAPY,American Journal of Orthopsychiatry,1949,,article,portico,1949-07-01,3,19,http://doi.org/10.1111/j.1939-0025.1949.tb05447.x,GEORGE DEVEREUX,"John Wiley & Sons, Inc.",eng,492,500,,4236,9,unigram; bigram; trigram
ark://27927/phx21rtmfq7,BOOK REVIEWS,American Journal of Orthopsychiatry,1931,,article,portico,1931-07-01,4,1,http://doi.org/10.1111/j.1939-0025.1931.tb04833.x,,"John Wiley & Sons, Inc.",eng,446,450,,2522,5,unigram; bigram; trigram
http://www.jstor.org/stable/27535314,Granville Hicks and Marxist Criticism,The Sewanee Review,1937,,article,jstor,1937-04-01,2,45,http://www.jstor.org/stable/27535314,Charles I. Glicksberg,Johns Hopkins University Press,eng,129,140,,4480,12,unigram; bigram; trigram
http://www.jstor.org/stable/27535432,The Criticism of Meaning and The Meaning of Criticism,The Sewanee Review,1938,,article,jstor,1938-04-01,2,46,http://www.jstor.org/stable/27535432,Austin Warren,Johns Hopkins University Press,eng,213,222,,3833,10,unigram; bigram; trigram
ark://27927/phzcjx9njnm,Needed Developments in Economic Theory as Applied to Farm Management: Discussion,American Journal of Agricultural Economics,1950,,article,portico,1950-11-01,4_p_2,32,http://doi.org/10.2307/1233871,C.B. Haver,"John Wiley & Sons, Inc.",eng,1156,1158,,1367,3,unigram; bigram; trigram
http://www.jstor.org/stable/27524530,Some Elementary Statistical Considerations in Educational Measurements,The Journal of Educational Research,1921,,article,jstor,1921-10-01,3,4,http://www.jstor.org/stable/27524530,J. Crosby Chapman,"Taylor & Francis, Ltd.",eng,212,220,,3613,9,unigram; bigram; trigram
ark://27927/phxg6jh19w,Review of Current Literature.,BJOG: An International Journal of Obstetrics and Gynaecology,1931,,article,portico,1931-09-01,3,38,http://doi.org/10.1111/j.1471-0528.1931.tb14003.x,,"John Wiley & Sons, Inc.",eng,630,718,,43767,89,unigram; bigram; trigram
ark://27927/phx21rtfmk6,FREUD'S CONTRIBUTIONS TO PSYCHOLOGY,American Journal of Orthopsychiatry,1940,,article,portico,1940-10-01,4,10,http://doi.org/10.1111/j.1939-0025.1940.tb05757.x,J. F. BROWN,"John Wiley & Sons, Inc.",eng,866,868,,1641,3,unigram; bigram; trigram
http://www.jstor.org/stable/4437086,Review Article,The American Biology Teacher,1940,,article,jstor,1940-11-01,2,3,http://www.jstor.org/stable/4437086,B. Leibson,University of California Press,eng,65,66,,795,2,unigram; bigram; trigram
ark://27927/phxg2grjk2,WILLIAM McDOUGALL: BIBLIOGRAPHY,Journal of Personality,1939,,article,portico,1939-03-01,3,7,http://doi.org/10.1111/j.1467-6494.1939.tb02141.x,MAY SMITH,"John Wiley & Sons, Inc.",eng,184,191,,2471,9,unigram; bigram; trigram
ark://27927/phx21rtmfw0,THE TRAINING OF THE PSYCHIATRIST,American Journal of Orthopsychiatry,1931,,article,portico,1931-07-01,4,1,http://doi.org/10.1111/j.1939-0025.1931.tb04828.x,,"John Wiley & Sons, Inc.",eng,345,399,,22341,55,unigram; bigram; trigram
ark://27927/phz2jnv53fk,Case Work as Education,Families in Society,1941,,article,portico,1941-06-01,4,22,http://doi.org/10.1177/104438944102200403,Beatrice Z. Levey,SAGE Publications,eng,111,117,,5209,7,unigram; bigram; trigram
ark://27927/phx21rtmggw,CONSCIENCE IN THE PSYCHOPATH: ANOTHER VERSION,American Journal of Orthopsychiatry,1948,,article,portico,1948-07-01,3,18,http://doi.org/10.1111/j.1939-0025.1948.tb05109.x,BEN KARPMAN,"John Wiley & Sons, Inc.",eng,455,491,,23887,37,unigram; bigram; trigram
ark://27927/pgk2hsxnknc,An Introduction to Plant Sociology for the Netherlands,Ecology,1947,,article,portico,1947-04-01,2,28,http://doi.org/10.2307/1930964,Edsko J. Dyksterhuis,"John Wiley & Sons, Inc.",eng,216,217,,1676,2,unigram; bigram; trigram
ark://27927/phx5z8t0mc3,Chapter X: Statistical Methods Related to Test Construction and Evaluation,Review of Educational Research,1944,,article,portico,1944-02-01,1,14,http://doi.org/10.3102/00346543014001110,Herbert S. Conrad,SAGE Publications,eng,110,126,,8133,17,unigram; bigram; trigram
ark://27927/phz6gw825f2,<i>Que faire de nos vieux ? Une histoire de la protection sociale de 1880 à nos jours</i> by Capuano Christophe (review),"Population, English edition",1902,,article,portico,1902-05-01,3,73,,Roméo Fontaine,Project MUSE,eng,571,573,,1299,3,unigram; bigram; trigram
ark://27927/phx1j4vn3pb,KROEBER'S “CONFIGURATIONS OF CULTURE GROWTH”,American Anthropologist,1946,,article,portico,1946-01-03,1,48,http://doi.org/10.1525/aa.1946.48.1.02a00100,Leslie A. White,"John Wiley & Sons, Inc.",eng,78,93,,8212,16,unigram; bigram; trigram
http://www.jstor.org/stable/43413140,ZOOLOGY,Science Progress (1933- ),1949,,article,jstor,1949-07-01,147,37,http://www.jstor.org/stable/43413140,A. Macfadyen,Temporary Publisher,eng,532,543,,4839,12,unigram; bigram; trigram
http://www.jstor.org/stable/4609075,Richard Wright's Blues,The Antioch Review,1945,,article,jstor,1945-07-01,2,5,http://www.jstor.org/stable/4609075,Ralph Ellison,"Antioch Review, Inc.",eng,198,211,,5609,14,unigram; bigram; trigram
ark://27927/phz5dkjmktt,Research in Marketing,Journal of Marketing,1950,,article,portico,1950-10-01,3,14,http://doi.org/10.1177/002224295001400316,Orin E. Burley,SAGE Publications,eng,460,472,,7540,13,unigram; bigram; trigram
http://www.jstor.org/stable/27528263,"Summary of Reading Investigations July 1, 1940 to June 30, 1941",The Journal of Educational Research,1942,,article,jstor,1942-02-01,6,35,http://www.jstor.org/stable/27528263,William S. Gray,"Taylor & Francis, Ltd.",eng,401,442,,16980,42,unigram; bigram; trigram
http://www.jstor.org/stable/30151842,Some Measurable Effects of Social Organization in Flocks of Hens,Physiological Zoology,1944,,article,jstor,1944-07-01,3,17,http://www.jstor.org/stable/30151842,A. M. Guhl; W. C. Allee,University of Chicago Press,eng,320,347,,15468,28,unigram; bigram; trigram
http://www.jstor.org/stable/27526226,Eye Movements in Reading,The Journal of Educational Research,1936,,article,jstor,1936-12-01,4,30,http://www.jstor.org/stable/27526226,Miles A. Tinker,"Taylor & Francis, Ltd.",eng,241,277,,15322,37,unigram; bigram; trigram
http://www.jstor.org/stable/4303176,Effects of Reading upon Attitudes toward the Negro Race,"The Library Quarterly: Information, Community, Policy",1944,,article,jstor,1944-01-01,1,14,http://www.jstor.org/stable/4303176,Evalene P. Jackson,University of Chicago Press,eng,47,54,,4653,8,unigram; bigram; trigram
http://www.jstor.org/stable/27523311,A Method for Computing Accomplishment Quotients on the High-School and College Levels,The Journal of Educational Research,1926,,article,jstor,1926-09-01,2,14,http://www.jstor.org/stable/27523311,Charles C. Peters,"Taylor & Francis, Ltd.",eng,99,111,,4531,13,unigram; bigram; trigram
ark://27927/phx2frx0vdp,Reviews,The Manchester School,1937,,article,portico,1937-06-01,1,8,http://doi.org/10.1111/j.1467-9957.1937.tb01405.x,,"John Wiley & Sons, Inc.",eng,85,108,,8388,24,unigram; bigram; trigram
http://www.jstor.org/stable/27529120,Research News and Communications,The Journal of Educational Research,1949,,article,jstor,1949-10-01,2,43,http://www.jstor.org/stable/27529120,Lawrence P. Blum,"Taylor & Francis, Ltd.",eng,154,157,,1819,4,unigram; bigram; trigram
ark://27927/phxg6k9tpd,REVIEW OF CURRENT LITERATURE,BJOG: An International Journal of Obstetrics and Gynaecology,1950,,article,portico,1950-08-01,4,57,http://doi.org/10.1111/j.1471-0528.1950.tb06031.x,,"John Wiley & Sons, Inc.",eng,649,704,,49918,56,unigram; bigram; trigram
http://www.jstor.org/stable/27523690,News and Communications,The Journal of Educational Research,1928,,article,jstor,1928-06-01,1,18,http://www.jstor.org/stable/27523690,P. H. Nygaard,"Taylor & Francis, Ltd.",eng,81,87,,3257,7,unigram; bigram; trigram
ark://27927/phx21rtd0qm,BOOK REVIEWS,American Journal of Orthopsychiatry,1940,,article,portico,1940-04-01,2,10,http://doi.org/10.1111/j.1939-0025.1940.tb05702.x,,"John Wiley & Sons, Inc.",eng,394,407,,9141,14,unigram; bigram; trigram
http://www.jstor.org/stable/30009712,Review Article,Social Service Review,1931,,article,jstor,1931-06-01,2,5,http://www.jstor.org/stable/30009712,Arthur L. Beeley,University of Chicago Press,eng,326,328,,1120,3,unigram; bigram; trigram
http://www.jstor.org/stable/27525378,Volume Information,The Journal of Educational Research,1931,,article,jstor,1931-05-01,5,23,http://www.jstor.org/stable/27525378,,"Taylor & Francis, Ltd.",eng,,,,6599,10,unigram; bigram; trigram
http://www.jstor.org/stable/27523721,Research Abstracts and Bibliographies,The Journal of Educational Research,1928,,article,jstor,1928-09-01,2,18,http://www.jstor.org/stable/27523721,,"Taylor & Francis, Ltd.",eng,163,174,,6311,12,unigram; bigram; trigram
http://www.jstor.org/stable/30092446,The Social Views of Christ,Studies: An Irish Quarterly Review,1914,,article,jstor,1914-03-01,9,3,http://www.jstor.org/stable/30092446,B. K. S.,Irish Province of the Society of Jesus,eng,616,643,,12181,28,unigram; bigram; trigram
http://www.jstor.org/stable/27537356,"Shakespeare, with and without Tears",The Sewanee Review,1942,,article,jstor,1942-10-01,4,50,http://www.jstor.org/stable/27537356,Benjamin T. Spencer,Johns Hopkins University Press,eng,545,556,,4292,12,unigram; bigram; trigram
ark://27927/phx21rtf89m,DIRECT PSYCHOTHERAPY IN ADOLESCENCE,American Journal of Orthopsychiatry,1942,,article,portico,1942-01-01,1,12,http://doi.org/10.1111/j.1939-0025.1942.tb05873.x,,"John Wiley & Sons, Inc.",eng,1,41,,24287,41,unigram; bigram; trigram
ark://27927/phxg4zhhwn,ON THE BIOLOGICAL BASIS OF SEXUAL REPRESSION AND ITS SOCIOLOGICAL SIGNIFICANCE,British Journal of Medical Psychology,1921,,article,portico,1921-07-01,3‐4,1,http://doi.org/10.1111/j.2044-8341.1921.tb00268.x,J. C. FLÜGEL,"John Wiley & Sons, Inc.",eng,225,280,,25572,56,unigram; bigram; trigram
ark://27927/phxg1dj4kc,"Lindner, Robert M. Rebel without a cause. New York: Grune and Stratton, 1944, pp. 296",Journal of Clinical Psychology,1946,,article,portico,1946-01-01,1,2,http://doi.org/10.1002/1097-4679(194601)2:1<96::AID-JCLP2270020116>3.0.CO;2-E,Dorothy E. Clifton,"John Wiley & Sons, Inc.",eng,96,97,,1318,2,unigram; bigram; trigram
ark://27927/phx5z8t09cf,Chapter IV: Measurement of Aptitudes in Specific Fields,Review of Educational Research,1941,,article,portico,1941-02-01,1,11,http://doi.org/10.3102/00346543011001042,David Segel,SAGE Publications,eng,42,56,,7552,15,unigram; bigram; trigram
ark://27927/phxg19bffq,THE ORGANIZATION AND ADMINISTRATION OF VOCATIONAL GUIDANCE,The Vocational Guidance Magazine,1926,,article,portico,1926-01-01,4,4,http://doi.org/10.1002/j.2164-5884.1926.tb00785.x,S. Lewis Land,"John Wiley & Sons, Inc.",eng,145,152,,3769,8,unigram; bigram; trigram
http://www.jstor.org/stable/27529170,"Summary of Reading Investigations July 1, 1948 to June 30, 1949",The Journal of Educational Research,1950,,article,jstor,1950-02-01,6,43,http://www.jstor.org/stable/27529170,William S. Gray,"Taylor & Francis, Ltd.",eng,401,439,,17060,39,unigram; bigram; trigram
ark://27927/phx5z8t0954,Chapter V: Current Construction and Evaluation of Personality and Character Tests,Review of Educational Research,1941,,article,portico,1941-02-01,1,11,http://doi.org/10.3102/00346543011001057,Arthur E. Traxler,SAGE Publications,eng,57,79,,10976,23,unigram; bigram; trigram
http://www.jstor.org/stable/30173172,Records and Reports in the Junior High School,Junior-Senior High School Clearing House,1930,,article,jstor,1930-03-01,7,4,http://www.jstor.org/stable/30173172,H. H. Ryan,"Taylor & Francis, Ltd.",eng,392,409,,9736,18,unigram; bigram; trigram
http://www.jstor.org/stable/27526206,Review Article,The Journal of Educational Research,1936,,article,jstor,1936-10-01,2,30,http://www.jstor.org/stable/27526206,Edmund S. Conklin,"Taylor & Francis, Ltd.",eng,136,137,,798,2,unigram; bigram; trigram
ark://27927/pgk2hsxnmks,Insects of the Mount Desert Region,Ecology,1947,,article,portico,1947-04-01,2,28,http://doi.org/10.2307/1930963,Clarence H. Kennedy,"John Wiley & Sons, Inc.",eng,215,216,,1633,2,unigram; bigram; trigram
ark://27927/phz5dh0b6bj,Research in Marketing Completed and in Progress,Journal of Marketing,1943,,article,portico,1943-10-01,2,8,http://doi.org/10.1177/002224294300800212,Ralph F. Breyer,SAGE Publications,eng,194,215,,13499,22,unigram; bigram; trigram
http://www.jstor.org/stable/27525621,Research Abstracts and Bibliographies,The Journal of Educational Research,1932,,article,jstor,1932-11-01,3,26,http://www.jstor.org/stable/27525621,,"Taylor & Francis, Ltd.",eng,230,234,,2056,5,unigram; bigram; trigram
ark://27927/phx21s224mr,SECTION ON “PLAY THERAPY” 1938,American Journal of Orthopsychiatry,1938,,article,portico,1938-07-01,3,8,http://doi.org/10.1111/j.1939-0025.1938.tb06399.x,MAXWELL GITELSON,"John Wiley & Sons, Inc.",eng,499,524,,14676,26,unigram; bigram; trigram
http://www.jstor.org/stable/4521222,Review Article,Journal of the English Folk Dance and Song Society,1944,,article,jstor,1944-12-01,5,4,http://www.jstor.org/stable/4521222,F. H.,English Folk Dance + Song Society,eng,208,209,,1354,2,unigram; bigram; trigram
ark://27927/phx21rtgf61,BASIC ASPECTS OF NONDIRECTIVE THERAPY,American Journal of Orthopsychiatry,1946,,article,portico,1946-10-01,4,16,http://doi.org/10.1111/j.1939-0025.1946.tb05423.x,Arthur W. Combs,"John Wiley & Sons, Inc.",eng,589,607,,9323,19,unigram; bigram; trigram
http://www.jstor.org/stable/4353381,Statistical Ecology. II.: A Reassessment,Botanical Review,1948,,article,jstor,1948-04-01,4,14,http://www.jstor.org/stable/4353381,Eric Ashby,New York Botanical Garden Press,eng,222,234,,4558,13,unigram; bigram; trigram
http://www.jstor.org/stable/27528927,"Summary of Reading Investigations July 1, 1946 to June 30, 1947",The Journal of Educational Research,1948,,article,jstor,1948-02-01,6,41,http://www.jstor.org/stable/27528927,William S. Gray,"Taylor & Francis, Ltd.",eng,401,435,,14019,35,unigram; bigram; trigram
ark://27927/phxb0x37z4,The American association of physical anthropologists. Proceedings of the twenty‐third annual meeting. Abstracts and list of members,American Journal of Physical Anthropology,1928,,article,portico,1954-06-01,2,12,http://doi.org/10.1002/ajpa.1330120226,,"John Wiley & Sons, Inc.",eng,273,312,,17225,40,unigram; bigram; trigram
ark://27927/phx21rtptv3,THE PSYCHOSOMATIC IMPLICATIONS OF THE PRIMARY UNIT: MOTHER‐CHILD,American Journal of Orthopsychiatry,1949,,article,portico,1949-10-01,4,19,http://doi.org/10.1111/j.1939-0025.1949.tb06521.x,THERESE BENEDEK,"John Wiley & Sons, Inc.",eng,642,654,,6437,13,unigram; bigram; trigram
http://www.jstor.org/stable/4303578,Adaptations of the Decimal Classification for Soviet Libraries,"The Library Quarterly: Information, Community, Policy",1947,,article,jstor,1947-04-01,2,17,http://www.jstor.org/stable/4303578,Nathalie Delougaz,University of Chicago Press,eng,148,161,,6172,14,unigram; bigram; trigram
http://www.jstor.org/stable/4544364,Symposium on the Relations between Science and Ethics,Proceedings of the Aristotelian Society,1941,,article,jstor,1941-01-01,,42,http://www.jstor.org/stable/4544364,C. H. Waddington; A. C. Ewing; C. D. Broad,Aristotelian Society,eng,65,100H,,16390,44,unigram; bigram; trigram
ark://27927/phxb0x47b8,The relation of climate and body size in U. S. males,American Journal of Physical Anthropology,1929,,article,portico,1955-03-01,1,13,http://doi.org/10.1002/ajpa.1330130102,Russell W. Newman; Ella H. Munro,"John Wiley & Sons, Inc.",eng,1,17,,6814,17,unigram; bigram; trigram
http://www.jstor.org/stable/43217296,NOTES,Kyoto University Economic Review,1937,,article,jstor,1937-12-01,2 (24),12,http://www.jstor.org/stable/43217296,,Kyoto University,eng,82,88,,2133,7,unigram; bigram; trigram
http://www.jstor.org/stable/27526708,"Summary of Reading Investigations: (July 1, 1938, to June 30, 1939)",The Journal of Educational Research,1940,,article,jstor,1940-03-01,7,33,http://www.jstor.org/stable/27526708,William S. Gray,"Taylor & Francis, Ltd.",eng,481,523,,18630,43,unigram; bigram; trigram
ark://27927/phxg505p7j,BIOLOGICAL FOUNDATIONS AND MENTAL METHODS,British Journal of Medical Psychology,1928,,article,portico,1928-03-01,1,8,http://doi.org/10.1111/j.2044-8341.1928.tb00672.x,TRIGANT BURROW,"John Wiley & Sons, Inc.",eng,49,63,,6572,15,unigram; bigram; trigram
ark://27927/phx21s1q19z,THE TREATMENT POSSIBILITIES OFFERED BY THE SUMMER CAMP AS A SUPPLEMENT TO THE CHILD GUIDANCE CLINIC,American Journal of Orthopsychiatry,1937,,article,portico,1937-10-01,4,7,http://doi.org/10.1111/j.1939-0025.1937.tb05290.x,JOSEPH GALKIN,"John Wiley & Sons, Inc.",eng,474,482,,4594,9,unigram; bigram; trigram
http://www.jstor.org/stable/4521221,Review Article,Journal of the English Folk Dance and Song Society,1944,,article,jstor,1944-12-01,5,4,http://www.jstor.org/stable/4521221,M. K.,English Folk Dance + Song Society,eng,207,208,,1552,2,unigram; bigram; trigram
http://www.jstor.org/stable/27535434,George Eliot: Social Pressure on the Individual,The Sewanee Review,1938,,article,jstor,1938-04-01,2,46,http://www.jstor.org/stable/27535434,Blanche Colton Williams,Johns Hopkins University Press,eng,235,241,,2740,7,unigram; bigram; trigram
http://www.jstor.org/stable/4332579,Kahler and Mumford,The Kenyon Review,1945,,article,jstor,1945-01-01,1,7,http://www.jstor.org/stable/4332579,Eric Russell Bentley,Kenyon College,eng,143,149,,2811,7,unigram; bigram; trigram
http://www.jstor.org/stable/4332239,The Way of Life,The Kenyon Review,1941,,article,jstor,1941-04-01,2,3,http://www.jstor.org/stable/4332239,Clyde Kluckhohn,Kenyon College,eng,160,179,,6525,20,unigram; bigram; trigram
ark://27927/phx21rtpjr9,"APPROACHES TO A DYNAMIC THEORY OF DEVELOPMENT ROUND TABLE, 1949",American Journal of Orthopsychiatry,1950,,article,portico,1950-01-01,1,20,http://doi.org/10.1111/j.1939-0025.1950.tb05462.x,SIBYLLE K. ESCALONA,"John Wiley & Sons, Inc.",eng,123,160,,17538,38,unigram; bigram; trigram
ark://27927/phx5z8t08z9,Chapter VIII: Statistical Methods Related to Test Construction and Evaluation,Review of Educational Research,1941,,article,portico,1941-02-01,1,11,http://doi.org/10.3102/00346543011001109,John C. Flanagan,SAGE Publications,eng,109,130,,11054,22,unigram; bigram; trigram
ark://27927/phx5z8t09tm,Chapter III: Applications of Intelligence Tests,Review of Educational Research,1941,,article,portico,1941-02-01,1,11,http://doi.org/10.3102/00346543011001025,J. B. Stroud,SAGE Publications,eng,25,41,,8574,17,unigram; bigram; trigram
ark://27927/phx21rtp5g6,GROUP PSYCHOTHERAPY IN AN ARMY GENERAL HOSPITAL RELATING TO CIVILIAN READJUSTMENT,American Journal of Orthopsychiatry,1947,,article,portico,1947-04-01,2,17,http://doi.org/10.1111/j.1939-0025.1947.tb04996.x,WALTER F. SULLIVAN; MAURICE R. FRIEND,"John Wiley & Sons, Inc.",eng,254,265,,6260,12,unigram; bigram; trigram
ark://27927/phx21rttv85,BOOK REVIEWS,American Journal of Orthopsychiatry,1950,,article,portico,1950-07-01,3,20,http://doi.org/10.1111/j.1939-0025.1950.tb06078.x,,"John Wiley & Sons, Inc.",eng,648,661,,7491,14,unigram; bigram; trigram
ark://27927/phxb0xbhbt,Proceedings of the twenty‐sixth annual meeting of the American Association of Physical Anthropologists,American Journal of Physical Anthropology,1931,,article,portico,1957-09-01,3,15,http://doi.org/10.1002/ajpa.1330150322,,"John Wiley & Sons, Inc.",eng,421,468,,20803,48,unigram; bigram; trigram
http://www.jstor.org/stable/27528603,"Summary of Reading Investigations: July 1, 1943 to June 30, 1944",The Journal of Educational Research,1945,,article,jstor,1945-02-01,6,38,http://www.jstor.org/stable/27528603,William S. Gray,"Taylor & Francis, Ltd.",eng,401,429,,11434,29,unigram; bigram; trigram
ark://27927/phz5dgk84nq,Research in Marketing,Journal of Marketing,1950,,article,portico,1950-01-01,4,14,http://doi.org/10.1177/002224295001400418,J. H. Lorie; J. R. Riggleman; R. Bartels; W. F. Brown; Orin E. Burley,SAGE Publications,eng,606,618,,7370,13,unigram; bigram; trigram
ark://27927/phxg2j0hxq,THE PSYCHOLOGY OF SOCIAL LEARNING,Journal of Social Issues,1949,,article,portico,1949-12-01,Supplement 3,5,http://doi.org/10.1111/j.1540-4560.1949.tb02393.x,Edward C. Tolman,"John Wiley & Sons, Inc.",eng,5,18,,6354,14,unigram; bigram; trigram
http://www.jstor.org/stable/27534821,The New Jargon: Psychology in Literature,The Sewanee Review,1932,,article,jstor,1932-10-01,4,40,http://www.jstor.org/stable/27534821,Leo A. Spiegel,Johns Hopkins University Press,eng,476,491,,6154,16,unigram; bigram; trigram
http://www.jstor.org/stable/43813931,EXTRACTS AND COMMENTS,Blackfriars,1937,,article,jstor,1937-08-01,209,18,http://www.jstor.org/stable/43813931,Penguin,Wiley,eng,620,628,,3497,9,unigram; bigram; trigram
ark://27927/phxg2fx2n5,BOOK REVIEWS,Journal of Personality,1942,,article,portico,1942-03-01,3,10,http://doi.org/10.1111/j.1467-6494.1942.tb01906.x,,"John Wiley & Sons, Inc.",eng,246,257,,6170,13,unigram; bigram; trigram
ark://27927/phxg1fq6mh,The attitudinal pathoses,Journal of Clinical Psychology,1949,,article,portico,1949-01-01,1,5,http://doi.org/10.1002/1097-4679(194901)5:1<1::AID-JCLP2270050102>3.0.CO;2-4,Frederick C. Thorne,"John Wiley & Sons, Inc.",eng,1,21,,14910,21,unigram; bigram; trigram
http://www.jstor.org/stable/27535801,Freud and Marx in Contemporary Literature,The Sewanee Review,1941,,article,jstor,1941-07-01,3,49,http://www.jstor.org/stable/27535801,Harry Slochower,Johns Hopkins University Press,eng,316,324,,3100,9,unigram; bigram; trigram
http://www.jstor.org/stable/30009639,Freud and Psychoanalysis,Social Service Review,1931,,article,jstor,1931-03-01,,1,http://www.jstor.org/stable/30009639,Arthur L. Beeley,University of Chicago Press,eng,10,27,,7358,18,unigram; bigram; trigram
http://www.jstor.org/stable/4544474,"A Synoptic Index to the ""Proceedings of the Aristotelian Society"": 1900-1949",Proceedings of the Aristotelian Society,1949,,article,jstor,1949-01-01,,50,http://www.jstor.org/stable/4544474,J. W. Scott,Aristotelian Society,eng,iii,127,,256326,335,unigram; bigram; trigram
ark://27927/phxg4zfw6q,THE MYTH OF PROGRESS,British Journal of Medical Psychology,1932,,article,portico,1932-03-01,1,12,http://doi.org/10.1111/j.2044-8341.1932.tb01060.x,M. D. EDER,"John Wiley & Sons, Inc.",eng,1,14,,6343,14,unigram; bigram; trigram
http://www.jstor.org/stable/4609377,"John Dewey, Karl Marx, and Democratic Socialism",The Antioch Review,1949,,article,jstor,1949-12-01,4,9,http://www.jstor.org/stable/4609377,Jim Cork,"Antioch Review, Inc.",eng,435,452,,6978,18,unigram; bigram; trigram
http://www.jstor.org/stable/27529116,A Research Note on the MMPI Social I.E. Scale,The Journal of Educational Research,1949,,article,jstor,1949-10-01,2,43,http://www.jstor.org/stable/27529116,Harrison G. Gouch,"Taylor & Francis, Ltd.",eng,138,141,,1052,4,unigram; bigram; trigram
http://www.jstor.org/stable/27526620,Research News and Communications,The Journal of Educational Research,1939,,article,jstor,1939-05-01,9,32,http://www.jstor.org/stable/27526620,,"Taylor & Francis, Ltd.",eng,704,710,,3564,7,unigram; bigram; trigram
http://www.jstor.org/stable/27529042,Readability: Its Application to the Elementary School,The Journal of Educational Research,1949,,article,jstor,1949-02-01,6,42,http://www.jstor.org/stable/27529042,Emmett Albert Betts,"Taylor & Francis, Ltd.",eng,438,459,,8336,22,unigram; bigram; trigram
ark://27927/phx21rtd27x,AMPLIFICATIONS OF MARXIST PSYCHOANALYSIS,American Journal of Orthopsychiatry,1940,,article,portico,1940-04-01,2,10,http://doi.org/10.1111/j.1939-0025.1940.tb05696.x,BURRILL FREEDMAN,"John Wiley & Sons, Inc.",eng,351,354,,1893,4,unigram; bigram; trigram
